FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,StartTime,Fwd_Header_Len,Bwd_Header_Len,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Tot_Fwd_Bytes,Tot_Bwd_Bytes,Fwd_PktLen_Min,Fwd_PktLen_Mean,Fwd_PktLen_Max,Fwd_PktLen_Std,Bwd_PktLen_Min,Bwd_PktLen_Mean,Bwd_PktLen_Max,Bwd_PktLen_Std,PktLen_Min,PktLen_Mean,PktLen_Max,PktLen_Var,PktLen_Std,Flow_Duration_s,Flow_IAT_Min,Flow_IAT_Mean,Flow_IAT_Max,Flow_IAT_Std,Fwd_IAT_Tot,Fwd_IAT_Min,Fwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Std,Bwd_IAT_Tot,Bwd_IAT_Min,Bwd_IAT_Mean,Bwd_IAT_Max,Bwd_IAT_Std,Active_Min,Active_Mean,Active_Max,Active_Std,Idle_Min,Idle_Mean,Idle_Max,Idle_Std,Fwd_PSH,Bwd_PSH,Fwd_URG,Bwd_URG,FIN_Count,SYN_Count,RST_Count,PSH_Count,ACK_Count,URG_Count,CWR_Count,ECE_Count,DownUp_Ratio,Fwd_Seg_Avg,Bwd_Seg_Avg,Fwd_Bulk_Byts_Avg,Fwd_Bulk_Pkts_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bulk_Byts_Avg,Bwd_Bulk_Pkts_Avg,Bwd_Bulk_Rate_Avg,Init_Fwd_Win_Bytes,Init_Bwd_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Flow_Bytes_per_s,Flow_Pkts_per_s,Fwd_Pkts_per_s,Bwd_Pkts_per_s,Subflow_Fwd_Pkts_Avg,Subflow_Fwd_Bytes_Avg,Subflow_Bwd_Pkts_Avg,Subflow_Bwd_Bytes_Avg,TTL_Avg,TTL_Min,TTL_Max,Unique_Src_Ports,Unique_Dst_Ports,Packet_Size_Mode,Packet_Size_Median,First_Payload_Bytes,Label
10.0.1.1-10.0.2.3-57260-80-6-1755541122,10.0.1.1,57260,10.0.2.3,80,6,1755541122.694326,74,0,3,0,222,0,74,74,74,0.0,0,0.0,0,0.0,74,74,74,0,0.0,0.012561321258544922,0.004176616668701172,0.006280660629272461,0.00838470458984375,0.002104043960571289,0.012561321258544922,0.004176616668701172,0.006280660629272461,0.00838470458984375,0.002104043960571289,0.0,0.0,0.0,0.0,0.0,0.012561321258544922,0.012561321258544922,0.012561321258544922,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,74,17673.300079717574,238.82837945564287,238.82837945564287,0.0,3,222,0.0,0.0,64,64,64,1,1,74,74,0,0
10.0.1.1-10.0.2.4-0-0-1-1755541122,10.0.1.1,0,10.0.2.4,0,1,1755541122.695023,34,0,3,0,294,0,98,98,98,0.0,0,0.0,0,0.0,98,98,98,0,0.0,0.012384653091430664,0.004158735275268555,0.006192326545715332,0.00822591781616211,0.0020335912704467773,0.012384653091430664,0.004158735275268555,0.006192326545715332,0.00822591781616211,0.0020335912704467773,0.0,0.0,0.0,0.0,0.0,0.012384653091430664,0.012384653091430664,0.012384653091430664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,0,3,98,23739.058157666765,242.23528732313022,242.23528732313022,0.0,3,294,0.0,0.0,64,64,64,1,1,98,98,64,0
10.0.3.6-10.0.2.4-43640-8080-6-1755541122,10.0.3.6,43640,10.0.2.4,8080,6,1755541122.6997428,74,0,3,0,222,0,74,74,74,0.0,0,0.0,0,0.0,74,74,74,0,0.0,0.01140451431274414,0.005586147308349609,0.00570225715637207,0.005818367004394531,0.00011610984802246094,0.01140451431274414,0.005586147308349609,0.00570225715637207,0.005818367004394531,0.00011610984802246094,0.0,0.0,0.0,0.0,0.0,0.01140451431274414,0.01140451431274414,0.01140451431274414,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,74,19465.975833089433,263.0537274741815,263.0537274741815,0.0,3,222,0.0,0.0,64,64,64,1,1,74,74,0,0
10.0.1.2-10.0.2.3-0-0-1-1755541122,10.0.1.2,0,10.0.2.3,0,1,1755541122.7014117,34,0,3,0,294,0,98,98,98,0.0,0,0.0,0,0.0,98,98,98,0,0.0,0.01263284683227539,0.0047991275787353516,0.006316423416137695,0.007833719253540039,0.0015172958374023438,0.01263284683227539,0.0047991275787353516,0.006316423416137695,0.007833719253540039,0.0015172958374023438,0.0,0.0,0.0,0.0,0.0,0.01263284683227539,0.01263284683227539,0.01263284683227539,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,0,3,98,23272.664024459293,237.47616351489071,237.47616351489071,0.0,3,294,0.0,0.0,64,64,64,1,1,98,98,64,0
10.0.1.2-10.0.2.3-47646-80-6-1755541122,10.0.1.2,47646,10.0.2.3,80,6,1755541122.701974,74,0,3,0,222,0,74,74,74,0.0,0,0.0,0,0.0,74,74,74,0,0.0,0.012674570083618164,0.004919528961181641,0.006337285041809082,0.0077550411224365234,0.0014177560806274414,0.012674570083618164,0.004919528961181641,0.006337285041809082,0.0077550411224365234,0.0014177560806274414,0.0,0.0,0.0,0.0,0.0,0.012674570083618164,0.012674570083618164,0.012674570083618164,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,74,17515.38699422509,236.6944188408796,236.6944188408796,0.0,3,222,0.0,0.0,64,64,64,1,1,74,74,0,0
10.0.1.1-10.0.3.5-36047-5353-17-1755541122,10.0.1.1,36047,10.0.3.5,5353,17,1755541122.7101734,42,0,3,0,144,0,48,48,48,0.0,0,0.0,0,0.0,48,48,48,0,0.0,0.008732795715332031,0.003309011459350586,0.004366397857666016,0.005423784255981445,0.0010573863983154297,0.008732795715332031,0.003309011459350586,0.004366397857666016,0.005423784255981445,0.0010573863983154297,0.0,0.0,0.0,0.0,0.0,0.008732795715332031,0.008732795715332031,0.008732795715332031,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,0,3,48,16489.564704597575,343.5325980124495,343.5325980124495,0.0,3,144,0.0,0.0,64,64,64,1,1,48,48,6,0
10.0.2.3-10.0.2.3-53-53-17-1755541219,10.0.2.3,53,10.0.2.3,53,17,1755541219.309806,42,0,970,0,1204740,0,1242,1242,1242,0.0,0,0.0,0,0.0,1242,1242,1242,0,0.0,331.4204707145691,9.775161743164062e-05,0.3420231895919186,2.1262319087982178,0.771155994854593,331.4204707145691,9.775161743164062e-05,0.3420231895919186,2.1262319087982178,0.771155994854593,0.0,0.0,0.0,0.0,0.0,0.005770683288574219,0.016368567189083822,1.6089766025543213,0.12710517073865696,2.058062791824341,2.0944855866158845,2.1262319087982178,0.013514184093045504,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1242,0.0,7624.93670886076,6.139240506329114,998569.8335178735,0.0,0.0,0.0,12420,0,970,1242,3635.0802272487394,2.9267956741133165,2.9267956741133165,0.0,6.139240506329114,7624.93670886076,0.0,0.0,64,64,64,1,1,1242,1242.0,1200,0
10.0.1.1-10.0.2.3-39082-80-6-1755541613,10.0.1.1,39082,10.0.2.3,80,6,1755541613.759051,74,0,3,0,222,0,74,74,74,0.0,0,0.0,0,0.0,74,74,74,0,0.0,0.02158808708190918,0.007503032684326172,0.01079404354095459,0.014085054397583008,0.003291010856628418,0.02158808708190918,0.007503032684326172,0.01079404354095459,0.014085054397583008,0.003291010856628418,0.0,0.0,0.0,0.0,0.0,0.02158808708190918,0.02158808708190918,0.02158808708190918,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,74,10283.449346748097,138.96553171281212,138.96553171281212,0.0,3,222,0.0,0.0,64,64,64,1,1,74,74,0,0
10.0.3.6-10.0.2.4-33166-8080-6-1755541613,10.0.3.6,33166,10.0.2.4,8080,6,1755541613.7736208,74,0,3,0,222,0,74,74,74,0.0,0,0.0,0,0.0,74,74,74,0,0.0,0.02797412872314453,0.01176762580871582,0.013987064361572266,0.01620650291442871,0.0022194385528564453,0.02797412872314453,0.01176762580871582,0.013987064361572266,0.01620650291442871,0.0022194385528564453,0.0,0.0,0.0,0.0,0.0,0.02797412872314453,0.02797412872314453,0.02797412872314453,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,74,7935.903998909079,107.24194593120376,107.24194593120376,0.0,3,222,0.0,0.0,64,64,64,1,1,74,74,0,0
10.0.1.2-10.0.2.3-57928-80-6-1755541613,10.0.1.2,57928,10.0.2.3,80,6,1755541613.8125803,74,0,3,0,222,0,74,74,74,0.0,0,0.0,0,0.0,74,74,74,0,0.0,0.008769512176513672,0.004199504852294922,0.004384756088256836,0.00457000732421875,0.00018525123596191406,0.008769512176513672,0.004199504852294922,0.004384756088256836,0.00457000732421875,0.00018525123596191406,0.0,0.0,0.0,0.0,0.0,0.008769512176513672,0.008769512176513672,0.008769512176513672,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,74,25314.977108368224,342.09428524821925,342.09428524821925,0.0,3,222,0.0,0.0,64,64,64,1,1,74,74,0,0
