FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,StartTime,Fwd_Header_Len,Bwd_Header_Len,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Tot_Fwd_Bytes,Tot_Bwd_Bytes,Fwd_PktLen_Min,Fwd_PktLen_Mean,Fwd_PktLen_Max,Fwd_PktLen_Std,Bwd_PktLen_Min,Bwd_PktLen_Mean,Bwd_PktLen_Max,Bwd_PktLen_Std,PktLen_Min,PktLen_Mean,PktLen_Max,PktLen_Var,PktLen_Std,Flow_Duration_s,Flow_IAT_Min,Flow_IAT_Mean,Flow_IAT_Max,Flow_IAT_Std,Fwd_IAT_Tot,Fwd_IAT_Min,Fwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Std,Bwd_IAT_Tot,Bwd_IAT_Min,Bwd_IAT_Mean,Bwd_IAT_Max,Bwd_IAT_Std,Active_Min,Active_Mean,Active_Max,Active_Std,Idle_Min,Idle_Mean,Idle_Max,Idle_Std,Fwd_PSH,Bwd_PSH,Fwd_URG,Bwd_URG,FIN_Count,SYN_Count,RST_Count,PSH_Count,ACK_Count,URG_Count,CWR_Count,ECE_Count,DownUp_Ratio,Fwd_Seg_Avg,Bwd_Seg_Avg,Fwd_Bulk_Byts_Avg,Fwd_Bulk_Pkts_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bulk_Byts_Avg,Bwd_Bulk_Pkts_Avg,Bwd_Bulk_Rate_Avg,Init_Fwd_Win_Bytes,Init_Bwd_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Flow_Bytes_per_s,Flow_Pkts_per_s,Fwd_Pkts_per_s,Bwd_Pkts_per_s,Subflow_Fwd_Pkts_Avg,Subflow_Fwd_Bytes_Avg,Subflow_Bwd_Pkts_Avg,Subflow_Bwd_Bytes_Avg,TTL_Avg,TTL_Min,TTL_Max,Unique_Src_Ports,Unique_Dst_Ports,Packet_Size_Mode,Packet_Size_Median,First_Payload_Bytes,Label
10.0.3.6-48790-10.0.3.5-5353-17-1755692985467,10.0.3.6,48790,10.0.3.5,5353,17,1755692985.467998,210,0,5,0,240,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0,0.0,0.026410818099975586,0.0023632049560546875,0.0066027045249938965,0.013838052749633789,0.004573762691035716,0.026410818099975586,0.0023632049560546875,0.0066027045249938965,0.013838052749633789,0.004573762691035716,0.0,0.0,0.0,0.0,0.0,0.026410818099975586,0.026410818099975586,0.026410818099975586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,48,9087.18537576168,189.31636199503498,189.31636199503498,0.0,5,240,0,0,64,64,64,1,1,48,48.0,6,0
10.0.3.5-0-10.0.3.6-0-1-1755692985481,10.0.3.5,0,10.0.3.6,0,1,1755692985.481219,34,0,1,0,76,0,76,76,76,0.0,0.0,0.0,0.0,0.0,76,76,76,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,76,76000000.0,1000000.0,1000000.0,0.0,1,76,0,0,64,64,64,1,1,76,76.0,42,0
10.0.3.6-60746-10.0.2.4-8080-6-1755692985584,10.0.3.6,60746,10.0.2.4,8080,6,1755692985.5849652,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.02249455451965332,0.011135578155517578,0.01124727725982666,0.011358976364135742,0.00011169910430908203,0.02249455451965332,0.011135578155517578,0.01124727725982666,0.011358976364135742,0.00011169910430908203,0.0,0.0,0.0,0.0,0.0,0.02249455451965332,0.02249455451965332,0.02249455451965332,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,9869.055188714241,133.36561065830057,133.36561065830057,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.1.1-34190-10.0.3.5-5353-17-1755692985586,10.0.1.1,34190,10.0.3.5,5353,17,1755692985.586418,126,0,3,0,144,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0,0.0,0.019295692443847656,0.008594512939453125,0.009647846221923828,0.010701179504394531,0.0010533332824707031,0.019295692443847656,0.008594512939453125,0.009647846221923828,0.010701179504394531,0.0010533332824707031,0.0,0.0,0.0,0.0,0.0,0.019295692443847656,0.019295692443847656,0.019295692443847656,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,48,7462.80551574161,155.47511491128355,155.47511491128355,0.0,3,144,0,0,64,64,64,1,1,48,48.0,6,0
10.0.1.2-38760-10.0.3.5-5353-17-1755692985587,10.0.1.2,38760,10.0.3.5,5353,17,1755692985.587545,126,0,3,0,144,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0,0.0,0.023513078689575195,0.009232282638549805,0.011756539344787598,0.01428079605102539,0.002524256706237793,0.023513078689575195,0.009232282638549805,0.011756539344787598,0.01428079605102539,0.002524256706237793,0.0,0.0,0.0,0.0,0.0,0.023513078689575195,0.023513078689575195,0.023513078689575195,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,48,6124.251183824946,127.58856632968637,127.58856632968637,0.0,3,144,0,0,64,64,64,1,1,48,48.0,6,0
10.0.1.1-41570-10.0.2.3-80-6-1755692985593,10.0.1.1,41570,10.0.2.3,80,6,1755692985.5939856,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.017926931381225586,0.008942842483520508,0.008963465690612793,0.008984088897705078,2.0623207092285156e-05,0.017926931381225586,0.008942842483520508,0.008963465690612793,0.008984088897705078,2.0623207092285156e-05,0.0,0.0,0.0,0.0,0.0,0.017926931381225586,0.017926931381225586,0.017926931381225586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,12383.602931201873,167.34598555678207,167.34598555678207,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.1.2-57010-10.0.2.3-80-6-1755692985608,10.0.1.2,57010,10.0.2.3,80,6,1755692985.6083257,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.019217491149902344,0.007566690444946289,0.009608745574951172,0.011650800704956055,0.002042055130004883,0.019217491149902344,0.007566690444946289,0.009608745574951172,0.011650800704956055,0.002042055130004883,0.0,0.0,0.0,0.0,0.0,0.019217491149902344,0.019217491149902344,0.019217491149902344,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,11551.976179842191,156.10778621408366,156.10778621408366,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.3.6-59907-10.0.3.5-5353-17-1755692986001,10.0.3.6,59907,10.0.3.5,5353,17,1755692986.0014284,42,0,1,0,48,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,48,48000000.0,1000000.0,1000000.0,0.0,1,48,0,0,64,64,64,1,1,48,48.0,6,0
10.0.2.3-53-10.0.2.3-53-17-1755693083974,10.0.2.3,53,10.0.2.3,53,17,1755693083.9749978,1260,0,30,0,37260,0,1242,1242,1242,0.0,0.0,0.0,0.0,0.0,1242,1242,1242,0,0.0,1.4021391868591309,0.0002307891845703125,0.048349627133073475,0.7428081035614014,0.1601813749933898,1.4021391868591309,0.0002307891845703125,0.048349627133073475,0.7428081035614014,0.1601813749933898,0.0,0.0,0.0,0.0,0.0,1.4021391868591309,1.4021391868591309,1.4021391868591309,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1242,0.0,37260,30,21.39587872670591,0.0,0.0,0.0,0,0,30,1242,26573.68137856874,21.39587872670591,21.39587872670591,0.0,30,37260,0,0,64,64,64,1,1,1242,1242.0,1200,0
0.0.0.0-53-10.0.2.3-80-17-1755693071229,0.0.0.0,53,10.0.2.3,80,17,1755693071.2295344,1302,0,31,0,7502,0,242,242,242,0.0,0.0,0.0,0.0,0.0,242,242,242,0,0.0,14.802722215652466,0.0041615962982177734,0.4934240738550822,1.2773728370666504,0.3165598536616749,14.802722215652466,0.0041615962982177734,0.4934240738550822,1.2773728370666504,0.3165598536616749,0.0,0.0,0.0,0.0,0.0,4.618258714675903,6.762674689292908,8.907090663909912,2.1444159746170044,1.2773728370666504,1.2773728370666504,1.2773728370666504,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31,242,506.79867464292147,2.094209399350915,2.094209399350915,0.0,15.5,3751,0,0,64,64,64,1,1,242,242.0,200,0
