Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.1.1-38315-10.0.3.5-5353-17-1777727215252,10.0.1.1,38315,10.0.3.5,5353,17,1777727215.2524593,0.012328386306762695,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,15817.155234098513,243.34084975536175,0.006164193153381348,0.00025665760040283203,0.00642085075378418,0.005907535552978516,0.012328386306762695,0.006164193153381348,0.00025665760040283203,0.00642085075378418,0.005907535552978516,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,243.34084975536175,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.012328386306762695,0.0,0.012328386306762695,0.012328386306762695,0.0,0.0,0.0,0.0,benign
10.0.1.1-35422-10.0.3.5-5353-17-1777727215252,10.0.1.1,35422,10.0.3.5,5353,17,1777727215.2528288,0.012755393981933594,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,15287.650093457944,235.1946168224299,0.006377696990966797,0.00010442733764648438,0.006482124328613281,0.0062732696533203125,0.012755393981933594,0.006377696990966797,0.00010442733764648438,0.006482124328613281,0.0062732696533203125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,235.1946168224299,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.012755393981933594,0.0,0.012755393981933594,0.012755393981933594,0.0,0.0,0.0,0.0,benign
10.0.1.2-51302-10.0.3.5-5353-17-1777727215253,10.0.1.2,51302,10.0.3.5,5353,17,1777727215.2538834,0.012259721755981445,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,15905.744345695339,244.70375916454367,0.006129860877990723,0.00037419795989990234,0.006504058837890625,0.00575566291809082,0.012259721755981445,0.006129860877990723,0.00037419795989990234,0.006504058837890625,0.00575566291809082,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,244.70375916454367,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.012259721755981445,0.0,0.012259721755981445,0.012259721755981445,0.0,0.0,0.0,0.0,benign
10.0.1.2-47028-10.0.3.5-5353-17-1777727215254,10.0.1.2,47028,10.0.3.5,5353,17,1777727215.254362,0.012281656265258789,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,15877.337371149031,244.26672878690815,0.0061408281326293945,0.0005317926406860352,0.00667262077331543,0.005609035491943359,0.012281656265258789,0.0061408281326293945,0.0005317926406860352,0.00667262077331543,0.005609035491943359,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,244.26672878690815,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.012281656265258789,0.0,0.012281656265258789,0.012281656265258789,0.0,0.0,0.0,0.0,benign
10.0.3.6-53614-10.0.2.4-8080-6-1777727215279,10.0.3.6,53614,10.0.2.4,8080,6,1777727215.2793756,0.007685422897338867,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,28885.853513261984,390.3493718008376,0.0038427114486694336,0.00016057491302490234,0.004003286361694336,0.0036821365356445312,0.007685422897338867,0.0038427114486694336,0.00016057491302490234,0.004003286361694336,0.0036821365356445312,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,390.3493718008376,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.007685422897338867,0.0,0.007685422897338867,0.007685422897338867,0.0,0.0,0.0,0.0,benign
10.0.1.2-0-10.0.2.3-0-1-1777727216246,10.0.1.2,0,10.0.2.3,0,1,1777727216.2464118,0.023389339447021484,3,0,294,0,98,98,98,0.0,0.0,0.0,0.0,0.0,12569.829116633708,128.26356241462966,0.011694669723510742,0.003545522689819336,0.015240192413330078,0.008149147033691406,0.023389339447021484,0.011694669723510742,0.003545522689819336,0.015240192413330078,0.008149147033691406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102,0,128.26356241462966,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,294,0,0,0,0,3,98,0.023389339447021484,0.0,0.023389339447021484,0.023389339447021484,0.0,0.0,0.0,0.0,benign
10.0.1.1-0-10.0.2.4-0-1-1777727216255,10.0.1.1,0,10.0.2.4,0,1,1777727216.255773,0.021659135818481445,3,0,294,0,98,98,98,0.0,0.0,0.0,0.0,0.0,13573.948769882767,138.50968132533436,0.010829567909240723,0.00453031063079834,0.015359878540039062,0.006299257278442383,0.021659135818481445,0.010829567909240723,0.00453031063079834,0.015359878540039062,0.006299257278442383,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102,0,138.50968132533436,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,294,0,0,0,0,3,98,0.021659135818481445,0.0,0.021659135818481445,0.021659135818481445,0.0,0.0,0.0,0.0,benign
10.0.1.1-39776-10.0.2.3-80-6-1777727216305,10.0.1.1,39776,10.0.2.3,80,6,1777727216.3059952,0.006825447082519531,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,32525.341903031996,439.5316473382702,0.0034127235412597656,6.866455078125e-05,0.0034813880920410156,0.0033440589904785156,0.006825447082519531,0.0034127235412597656,6.866455078125e-05,0.0034813880920410156,0.0033440589904785156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,439.5316473382702,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.006825447082519531,0.0,0.006825447082519531,0.006825447082519531,0.0,0.0,0.0,0.0,benign
10.0.3.6-35378-10.0.3.5-5353-17-1777727217167,10.0.3.6,35378,10.0.3.5,5353,17,1777727217.167277,1e-06,1,0,65,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0,1000000.0,0.0,65,65,65,0.0,0.0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65,0,0,0,0,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.3.6-0-1-1777727217177,10.0.3.5,0,10.0.3.6,0,1,1777727217.1775534,1e-06,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,93,93,93,0.0,0.0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93,0,0,0,0,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
